QID,position,option,qubit,fallacy,randomized,if_rand_with,type,qname
24,0,1,1,,,,,
24,0,6,2,,,,,
24,0,7,"1,2",conj,,,,
25,1,1,3,,,,,
25,1,3,4,,,,,
25,1,4,"3,4",conj,,,,
53,2,1,3,,,,,
53,2,3,1,,,,,
53,2,2,"1,3",conj,,,,
72,3,1,4,,,,,
72,3,4,1,,,,,
72,3,5,"1,4",conj,,,,
72,3,8,"1,4",disj,,,,
33,2,1,4,,,,,
33,2,4,1,,,,,
33,2,5,"1,4",conj,,,,
70,3,1,3,,,,,
70,3,3,2,,,,,
70,3,5,"2,3",conj,,,,
70,3,7,"2,3",disj,,,,
39,2,1,3,,,,,
39,2,3,2,,,,,
39,2,5,"2,3",conj,,,,
68,3,1,2,,,,,
68,3,3,4,,,,,
68,3,6,"2,4",conj,,,,
68,3,7,"2,4",disj,,,,
34,2,1,2,,,,,
34,2,3,4,,,,,
34,2,6,"2,4",conj,,,,
66,3,1,3,,,,,
66,3,3,1,,,,,
66,3,2,"1,3",conj,,,,
66,3,6,"1,3",disj,,,,
76,4,1,1,,1,"4,5,6",,qubit1
77,5,1,2,,1,"4,5,6",,qubit2
79,6,1,"1,2",conj,1,"4,5,6",,qubits1and2
55,7,1,"1,2,3",conj3,,,,
55,7,2,3,,,,,
55,7,3,2,,,,,
55,7,4,1,,,,,
46,8,1,"-1,3",conj,1,"8,9",,alloptions
46,8,2,"3,-4",conj,1,"8,9",,alloptions
46,8,3,"2,-1",conj,1,"8,9",,alloptions
46,8,4,"2,-4",disj,1,"8,9",,alloptions
46,8,5,"-2,-3",disj,1,"8,9",,alloptions
46,8,6,"1,3",conj,1,"8,9",,alloptions
84,9,1,"-1,-3",disj,1,"8,9",,alloptions2
84,9,2,"-3,-4",disj,1,"8,9",,alloptions2
84,9,3,"-2,-4",disj,1,"8,9",,alloptions2
84,9,4,"3,1",conj,1,"8,9",,alloptions2
80,10,1,2,,,,,
80,10,2,-2,,,,,
83,11,1,1,,,,yn,
83,11,2,2,,,,yn,
83,11,3,3,,,,yn,
83,11,4,4,,,,yn,
81,12,1,"3,4",conidtional,,,,
